Move_1;Move_2;Move_3;Move_4;Move_5;Move_6;Move_7;Move_8;Move_9;Move_10;Score_1;Score_2;Score_3;Score_4;Score_5;Score_6;Score_7;Score_8;Score_9;Score_10
['MAINTAIN: 5 <-> 9', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 10 <-> 14', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 14 <-> 13'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 2 <-> 1'];['MAINTAIN: 10 <-> 14', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 9 <-> 10'];['MAINTAIN: 4 <-> 1', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 8 <-> 4'];['MAINTAIN: 8 <-> 4', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 9 <-> 10'];['MAINTAIN: 10 <-> 14', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 6 <-> 5'];['MAINTAIN: 6 <-> 5', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 11 <-> 7'];['MAINTAIN: 11 <-> 7', 'MAINTAIN: 5 <-> 9'];['MAINTAIN: 4 <-> 1', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 5 <-> 9'];3;4;4;4;4;4;4;4;4;4
['MAINTAIN: 11 <-> 7', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 2 <-> 3'];['MAINTAIN: 8 <-> 4', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 9 <-> 12'];['MAINTAIN: 4 <-> 5', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 10 <-> 11'];['MAINTAIN: 7 <-> 6', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 8 <-> 4'];['MAINTAIN: 10 <-> 11', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 13 <-> 12'];['MAINTAIN: 2 <-> 1', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 4 <-> 1'];['MAINTAIN: 8 <-> 4', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 14 <-> 13'];['MAINTAIN: 2 <-> 1', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 10 <-> 11'];['MAINTAIN: 2 <-> 1', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 5 <-> 9'];['MAINTAIN: 4 <-> 5', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 9 <-> 10'];0;6;9;10;10;10;10;10;10;10
['MAINTAIN: 2 <-> 1', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 5 <-> 9'];['MAINTAIN: 12 <-> 8', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 7 <-> 3'];['MAINTAIN: 8 <-> 4', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 2 <-> 3'];['MAINTAIN: 7 <-> 3', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 8 <-> 4'];['MAINTAIN: 9 <-> 12', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 1'];['MAINTAIN: 10 <-> 14', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 7 <-> 3'];['MAINTAIN: 7 <-> 3', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 4 <-> 1', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 11 <-> 7', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 4 <-> 1'];['MAINTAIN: 11 <-> 7', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 10 <-> 14'];1;2;3;3;3;3;3;3;3;3
['MAINTAIN: 14 <-> 13', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 5 <-> 9'];['MAINTAIN: 9 <-> 12', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 7 <-> 6'];['MAINTAIN: 7 <-> 3', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 2 <-> 3'];['MAINTAIN: 7 <-> 3', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 9 <-> 10'];['MAINTAIN: 7 <-> 3', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 8 <-> 4', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 5 <-> 9'];['MAINTAIN: 2 <-> 1', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 4 <-> 5'];['MAINTAIN: 13 <-> 12', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 5 <-> 9'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 8 <-> 4'];['MAINTAIN: 11 <-> 7', 'MAINTAIN: 2 <-> 1'];0;6;7;8;8;8;8;8;8;8
['MAINTAIN: 12 <-> 8', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 11 <-> 7'];['MAINTAIN: 4 <-> 5', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 10 <-> 14'];['MAINTAIN: 4 <-> 1', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 2 <-> 1'];['MAINTAIN: 4 <-> 5', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 7 <-> 3'];['MAINTAIN: 4 <-> 5', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 11 <-> 7'];['MAINTAIN: 11 <-> 7', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 9 <-> 12'];['MAINTAIN: 13 <-> 12', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 6 <-> 5'];['MAINTAIN: 8 <-> 4', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 2 <-> 1'];['MAINTAIN: 13 <-> 12', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 4 <-> 5'];['MAINTAIN: 2 <-> 1', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 7 <-> 6'];3;6;9;9;9;9;9;9;9;9
['MAINTAIN: 13 <-> 12', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 7 <-> 6'];['MAINTAIN: 9 <-> 12', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 13 <-> 12'];['MAINTAIN: 2 <-> 1', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 10 <-> 11'];['MAINTAIN: 6 <-> 5', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 13 <-> 12'];['MAINTAIN: 2 <-> 1', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 10 <-> 11'];['MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 6 <-> 5', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 13 <-> 12'];['MAINTAIN: 2 <-> 1', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 10 <-> 11', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 2 <-> 3'];['MAINTAIN: 9 <-> 12', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 9 <-> 10'];1;2;3;4;5;6;7;8;9;9
['MAINTAIN: 5 <-> 9', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 6 <-> 5'];['MAINTAIN: 12 <-> 8', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 8 <-> 4'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 9 <-> 12'];['MAINTAIN: 2 <-> 1', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 8 <-> 4'];['MAINTAIN: 14 <-> 13', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 4 <-> 1'];['MAINTAIN: 12 <-> 8', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 8 <-> 4'];['MAINTAIN: 12 <-> 8', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 7 <-> 6'];['MAINTAIN: 6 <-> 5', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 9 <-> 10'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 9 <-> 10'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 9 <-> 10'];3;6;7;8;9;9;9;9;9;9
